ratingOverall,ratingCeo,ratingBusinessOutlook,ratingWorkLifeBalance,ratingCultureAndValues,ratingDiversityAndInclusion,ratingSeniorLeadership,ratingRecommendToFriend,ratingCareerOpportunities,ratingCompensationAndBenefits,isCurrentJob,lengthOfEmployment,employmentStatus
5,APPROVE,POSITIVE,4,5,0,5,POSITIVE,5,5,1,0,REGULAR
3,APPROVE,POSITIVE,3,3,0,4,NEGATIVE,3,4,1,9,REGULAR
4,APPROVE,POSITIVE,3,3,0,4,POSITIVE,5,5,1,4,REGULAR
5,APPROVE,POSITIVE,4,5,0,5,POSITIVE,5,5,1,1,REGULAR
5,APPROVE,POSITIVE,3,4,0,5,POSITIVE,5,5,1,1,REGULAR
4,DISAPPROVE,NEUTRAL,2,2,0,1,POSITIVE,1,5,0,6,REGULAR
5,APPROVE,POSITIVE,3,3,0,3,POSITIVE,5,3,1,4,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,1,0,REGULAR
4,NO_OPINION,POSITIVE,2,3,0,5,POSITIVE,4,4,0,2,REGULAR
4,NO_OPINION,POSITIVE,1,2,0,3,NEGATIVE,4,3,1,2,REGULAR
5,APPROVE,POSITIVE,4,5,0,5,POSITIVE,5,5,1,0,REGULAR
3,APPROVE,POSITIVE,3,3,0,4,NEGATIVE,3,4,1,9,REGULAR
4,APPROVE,POSITIVE,3,3,0,4,POSITIVE,5,5,1,4,REGULAR
5,APPROVE,POSITIVE,4,5,0,5,POSITIVE,5,5,1,1,REGULAR
5,APPROVE,POSITIVE,3,4,0,5,POSITIVE,5,5,1,1,REGULAR
4,DISAPPROVE,NEUTRAL,2,2,0,1,POSITIVE,1,5,0,6,REGULAR
5,APPROVE,POSITIVE,3,3,0,3,POSITIVE,5,3,1,4,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,1,0,REGULAR
4,NO_OPINION,POSITIVE,2,3,0,5,POSITIVE,4,4,0,2,REGULAR
4,NO_OPINION,POSITIVE,1,2,0,3,NEGATIVE,4,3,1,2,REGULAR
4,NO_OPINION,NEUTRAL,4,4,4,4,POSITIVE,4,4,1,1,REGULAR
2,DISAPPROVE,NEGATIVE,2,1,1,1,NA,2,3,1,4,REGULAR
5,APPROVE,POSITIVE,2,4,5,3,NEGATIVE,3,4,1,2,REGULAR
5,NO_OPINION,NEUTRAL,5,5,5,2,POSITIVE,4,4,0,0,REGULAR
5,APPROVE,NEGATIVE,1,3,4,2,NEGATIVE,5,3,1,2,REGULAR
5,APPROVE,POSITIVE,4,4,5,3,POSITIVE,5,5,0,2,REGULAR
4,APPROVE,POSITIVE,3,4,4,4,POSITIVE,5,4,1,2,REGULAR
5,APPROVE,POSITIVE,4,4,5,4,POSITIVE,3,5,1,4,REGULAR
5,APPROVE,POSITIVE,5,5,5,5,POSITIVE,5,5,1,4,REGULAR
4,NO_OPINION,POSITIVE,4,5,5,3,POSITIVE,3,5,1,4,REGULAR
5,NA,NA,5,5,5,5,NA,5,5,0,0,REGULAR
4,APPROVE,POSITIVE,4,4,4,4,POSITIVE,5,4,1,0,PART_TIME
5,APPROVE,POSITIVE,4,5,4,3,POSITIVE,5,4,1,2,REGULAR
4,NO_OPINION,NEUTRAL,4,3,5,2,POSITIVE,3,3,0,0,REGULAR
3,DISAPPROVE,NEUTRAL,2,4,5,3,POSITIVE,3,2,1,2,REGULAR
2,DISAPPROVE,NEGATIVE,1,1,4,1,NEGATIVE,3,5,0,6,REGULAR
4,NA,NA,4,4,4,4,NA,4,4,0,0,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,0,2,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,0,0,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,1,0,REGULAR
4,NO_OPINION,NEUTRAL,3,5,5,2,NEGATIVE,3,3,1,2,REGULAR
5,NA,NA,0,0,0,0,NA,0,0,0,1,REGULAR
4,NA,NA,5,5,5,4,NA,4,3,0,1,PART_TIME
4,APPROVE,POSITIVE,3,4,4,4,POSITIVE,4,4,0,0,REGULAR
5,APPROVE,POSITIVE,3,3,4,4,POSITIVE,5,5,1,1,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,0,0,REGULAR
4,APPROVE,POSITIVE,3,4,3,3,POSITIVE,4,3,1,2,REGULAR
4,NA,NA,0,0,0,0,NA,0,0,0,0,REGULAR
5,APPROVE,POSITIVE,5,5,5,5,POSITIVE,5,5,0,0,REGULAR
5,NA,NA,0,0,0,0,NA,0,0,1,2,REGULAR
5,NA,NA,5,5,5,5,POSITIVE,5,5,0,6,REGULAR
5,APPROVE,POSITIVE,5,5,5,5,POSITIVE,5,3,1,0,REGULAR
5,NA,NA,5,5,5,4,NA,4,3,1,0,REGULAR
4,NA,NA,2,3,3,2,NA,5,5,0,1,REGULAR
5,NA,NA,5,5,5,5,NA,5,5,0,0,REGULAR
5,NA,NA,4,5,4,4,NA,5,5,1,2,REGULAR
5,APPROVE,POSITIVE,5,5,5,5,POSITIVE,5,5,1,1,REGULAR
3,NA,NA,1,1,4,2,NA,4,4,1,0,REGULAR
5,APPROVE,NA,4,4,4,4,POSITIVE,4,4,0,0,REGULAR
4,NA,POSITIVE,4,4,4,4,POSITIVE,4,4,0,1,REGULAR
3,NA,NA,5,3,5,2,NA,1,1,0,2,REGULAR
1,NA,NA,2,2,5,2,NA,2,4,1,2,REGULAR
2,NA,NA,1,3,5,2,NEGATIVE,5,5,1,0,REGULAR
3,NO_OPINION,POSITIVE,3,3,4,2,NA,3,3,1,1,PART_TIME
